antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'burgers'}),frozenset({'eggs'}),0.11381642512077295,0.2081159420289855,0.036135265700483095,0.31748726655348053,1.525530737617699,0.012448253168101941,1.1602480351863869,0.3887348381845701
frozenset({'cake'}),frozenset({'mineral water'}),0.10357487922705313,0.2997101449275362,0.03768115942028986,0.36380597014925375,1.2138593781575682,0.006638717356297702,1.1007488631051043,0.19653771535642645
frozenset({'chicken'}),frozenset({'mineral water'}),0.08386473429951691,0.2997101449275362,0.03265700483091787,0.38940092165898615,1.2992583943167333,0.0075218931597003415,1.1468898003828276,0.251415013685226
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.07188405797101449,0.2997101449275362,0.028985507246376812,0.40322580645161293,1.345385911274724,0.007441125813904641,1.173458676067372,0.27660212367270454
frozenset({'cooking oil'}),frozenset({'spaghetti'}),0.07188405797101449,0.22956521739130434,0.02280193236714976,0.3172043010752688,1.3817611599869666,0.006299852972064694,1.128353303663129,0.29768470976825934
frozenset({'turkey'}),frozenset({'eggs'}),0.08328502415458937,0.2081159420289855,0.025120772946859903,0.30162412993039445,1.4493081452087198,0.007787831688020722,1.1338937840050074,0.3381810221818653
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.12985507246376812,0.2997101449275362,0.050434782608695654,0.38839285714285715,1.2958949295385467,0.011515900021003993,1.144999471067386,0.26240743718746895
frozenset({'frozen vegetables'}),frozenset({'spaghetti'}),0.12985507246376812,0.22956521739130434,0.03903381642512077,0.3005952380952381,1.309411075036075,0.009223608485612263,1.1015578168362627,0.2715615332352688
frozenset({'grated cheese'}),frozenset({'spaghetti'}),0.07014492753623189,0.22956521739130434,0.02280193236714976,0.325068870523416,1.4160197011436682,0.006699096828397397,1.1415013309671695,0.3159579863899574
frozenset({'herb & pepper'}),frozenset({'ground beef'}),0.06647342995169082,0.13584541062801933,0.02280193236714976,0.3430232558139535,2.5251000694697145,0.01377182197950944,1.3153503484246076,0.6469832894196731
frozenset({'ground beef'}),frozenset({'mineral water'}),0.13584541062801933,0.2997101449275362,0.058743961352657005,0.4324324324324324,1.442835485388677,0.01802971364559266,1.2338440303657696,0.35516826923076916
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.13584541062801933,0.22956521739130434,0.05584541062801932,0.41109530583214793,1.7907560670718565,0.02466002940558706,1.3082503675698383,0.5109926586650655
frozenset({'herb & pepper'}),frozenset({'mineral water'}),0.06647342995169082,0.2997101449275362,0.024734299516908212,0.37209302325581395,1.2415096037065358,0.004811538192256527,1.115276435856146,0.20838077002690947
frozenset({'herb & pepper'}),frozenset({'spaghetti'}),0.06647342995169082,0.22956521739130434,0.02318840579710145,0.3488372093023256,1.519556025369979,0.007928418399495905,1.183167701863354,0.36625957358724903
frozenset({'milk'}),frozenset({'mineral water'}),0.17004830917874397,0.2997101449275362,0.06782608695652174,0.39886363636363636,1.3308312818709338,0.016860883567877898,1.1649434262075014,0.299523397311523
frozenset({'soup'}),frozenset({'milk'}),0.07091787439613527,0.17004830917874397,0.021449275362318842,0.3024523160762943,1.7786258360168443,0.0093898107307055,1.189813556763285,0.471183537947265
frozenset({'olive oil'}),frozenset({'mineral water'}),0.08753623188405797,0.2997101449275362,0.03845410628019324,0.4392935982339956,1.4657281565834477,0.012218609535811806,1.2489421431016776,0.3482277971815878
frozenset({'pancakes'}),frozenset({'mineral water'}),0.12521739130434784,0.2997101449275362,0.04869565217391304,0.38888888888888884,1.2975499677627336,0.011166729678638937,1.1459288537549406,0.2621414370917352
frozenset({'salmon'}),frozenset({'mineral water'}),0.057391304347826085,0.2997101449275362,0.02280193236714976,0.39730639730639733,1.3256354649004554,0.0056011762234824646,1.1619334466844788,0.2606010382137721
frozenset({'soup'}),frozenset({'mineral water'}),0.07091787439613527,0.2997101449275362,0.033429951690821254,0.4713896457765667,1.5728184506084673,0.012175145277602741,1.3247751382040938,0.3919984034316601
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.22956521739130434,0.2997101449275362,0.08502415458937199,0.3703703703703704,1.2357618740597465,0.01622113001470281,1.112225063938619,0.24762979683972933
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.09198067632850242,0.2997101449275362,0.034589371980676326,0.37605042016806717,1.2547136843131834,0.007021830147728066,1.1223500707558678,0.22356949832426004
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.08753623188405797,0.22956521739130434,0.03246376811594203,0.3708609271523179,1.6154926750953242,0.012368494013862637,1.2245858123569795,0.4175440188781994
frozenset({'shrimp'}),frozenset({'spaghetti'}),0.098743961352657,0.22956521739130434,0.03033816425120773,0.30724070450097846,1.33835912945502,0.0076699852972064685,1.1121247850650946,0.2805156176595907
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.09198067632850242,0.22956521739130434,0.02995169082125604,0.32563025210084034,1.4184651133180546,0.00883612686410418,1.1424515779493432,0.3248968551991158
"frozenset({'milk', 'chocolate'})",frozenset({'mineral water'}),0.04483091787439614,0.2997101449275362,0.02009661835748792,0.44827586206896547,1.4956979923964515,0.00666033746411818,1.2692753623188406,0.346970852331969
"frozenset({'spaghetti', 'chocolate'})",frozenset({'mineral water'}),0.05584541062801932,0.2997101449275362,0.022995169082125604,0.411764705882353,1.3738764364546594,0.0062577329692641605,1.1904927536231886,0.2882287585521314
"frozenset({'chocolate', 'mineral water'})",frozenset({'spaghetti'}),0.07323671497584541,0.22956521739130434,0.022995169082125604,0.31398416886543534,1.367734068921404,0.006182566687670657,1.123056856187291,0.29011045619248527
"frozenset({'spaghetti', 'eggs'})",frozenset({'mineral water'}),0.05140096618357488,0.2997101449275362,0.020676328502415457,0.40225563909774437,1.3421488925408298,0.005270937478120843,1.1715540971652538,0.2687396599417816
"frozenset({'spaghetti', 'ground beef'})",frozenset({'mineral water'}),0.05584541062801932,0.2997101449275362,0.024734299516908212,0.4429065743944637,1.4777830576991293,0.007996863404046768,1.2570420379872176,0.34243405904625457
"frozenset({'ground beef', 'mineral water'})",frozenset({'spaghetti'}),0.058743961352657005,0.22956521739130434,0.024734299516908212,0.42105263157894735,1.8341307814992025,0.011248729258559126,1.3307509881422925,0.4831656743995073
"frozenset({'spaghetti', 'milk'})",frozenset({'mineral water'}),0.05004830917874396,0.2997101449275362,0.022608695652173914,0.4517374517374517,1.5072477838435285,0.007608709654834419,1.2772892427025924,0.3542696793307045
"frozenset({'milk', 'mineral water'})",frozenset({'spaghetti'}),0.06782608695652174,0.22956521739130434,0.022608695652173914,0.3333333333333333,1.452020202020202,0.007038185255198488,1.1556521739130434,0.333955223880597
